id,country,region,date,lockdown,ref
106,Eritrea,,,None,
107,Estonia,,13/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Estonia
108,Eswatini,,,None,
109,Ethiopia,,16/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Ethiopia
110,Fiji,,20/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Fiji
111,Finland,,27/03/2020,Full,http://global.chinadaily.com.cn/a/202003/27/WS5e7ce399a310128217282530.html
112,France,French Guiana,,None,
113,France,French Polynesia,27/03/2020,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_French_Polynesia
114,France,Guadeloupe,,None,
115,France,Martinique,20/03/2020,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Martinique
116,France,Mayotte,,None,
117,France,New Caledonia,,None,
118,France,Reunion,,None,
119,France,Saint Barthelemy,,None,
120,France,St Martin,,None,
121,France,,16/03/2020,Full,https://www.businessinsider.com/countries-on-lockdown-coronavirus-italy-2020-3?r=US&IR=T#spain-became-the-second-european-country-to-impose-a-nationwide-quarantine-on-march-14-on-thursday-the-lockdown...
122,Gabon,,,None,
123,Gambia,,27/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Gambia
124,Georgia,,22/03/2020,Partial,https://www.garda.com/crisis24/news-alerts/325581/georgia-government-places-two-cities-on-lockdown-march-22-update-6
125,Germany,,20/03/2020,Full,https://www.politico.eu/article/german-state-of-bavaria-heads-for-full-coronavirus-lockdown/
126,Ghana,,15/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Ghana
127,Greece,,18/03/2020,Full,https://www.tornosnews.gr/en/greek-news/society/39369-greece-in-total-lockdown-from-wednesday-due-to-coronavirus-outbreak.html
128,Greenland,,,None,
129,Grenada,,,None,
130,Guatemala,,,None,
131,Guinea,,,None,
132,Guinea-Bissau,,,None,
133,Guyana,,,None,
134,Haiti,,,None,
135,Honduras,,20/03/2020,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Honduras
136,Hungary,,16/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Hungary
137,Iceland,,16/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Iceland
138,India,,24/03/2020,Full,https://www.businessinsider.com/countries-on-lockdown-coronavirus-italy-2020-3?r=US&IR=T#the-uk-went-into-full-coronavirus-lockdown-on-monday-evening-7
139,Indonesia,,15/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Indonesia
140,Iran,,15/03/2020,Full,https://www.dailymail.co.uk/news/article-8109981/Iran-imposes-nationwide-lockdown-24-hours-citizen-checked-coronavirus.html
141,Iraq,,22/03/2020,Full,https://www.middleeasteye.net/news/coronavirus-iraq-impose-total-lockdown-until-28-march
142,Ireland,,12/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Republic_of_Ireland
143,Israel,,12/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Israel
144,Italy,,11/03/2020,Full,https://www.businessinsider.com/countries-on-lockdown-coronavirus-italy-2020-3?r=US&IR=T#the-uk-went-into-full-coronavirus-lockdown-on-monday-evening-7
145,Jamaica,,12/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Jamaica
146,Japan,,27/02/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Japan
147,Jersey,,18/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Jersey
148,Jordan,,21/03/2020,Full,https://www.nytimes.com/aponline/2020/03/21/world/middleeast/ap-ml-virus-outbreak-mideast.html
149,Kazakhstan,,15/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Kazakhstan
150,Kenya,,15/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Kenya
151,"Korea, South",,23/02/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_South_Korea
152,Kosovo,,25/03/2020,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Kosovo
153,Kuwait,,16/03/2020,Partial,https://www.cosmopolitanme.com/travel/kuwait-shutdown-due-to-coronavirus
154,Kyrgyzstan,,24/03/2020,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Kyrgyzstan
155,Laos,,,None,
156,Latvia,,13/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Latvia
157,Lebanon,,16/03/2020,Full,https://www.haaretz.com/middle-east-news/lebanon-goes-on-virus-lockdown-as-iraqis-go-panic-shopping-ahead-of-curfew-1.8679069
158,Liberia,,,None,
159,Libya,,,None,
160,Liechtenstein,,20/03/2020,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Liechtenstein
161,Lithuania,,16/03/2020,Full,https://www.euractiv.com/section/coronavirus/short_news/lithuania-update-covid-19/
162,Luxembourg,,16/03/2020,Full,https://luxtimes.lu/luxembourg/40100-germany-border-checks-add-to-luxembourg-virus-lockdown
163,Madagascar,,17/03/2020,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Madagascar
164,Malaysia,,18/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Malaysia
165,Maldives,,11/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Maldives
166,Mali,,18/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Mali
167,Malta,,12/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Malta
168,Mauritania,,,None,
169,Mauritius,,17/03/2020,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Mauritius
170,Mexico,,14/03/2020,Partial,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Mexico
171,Moldova,,11/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Moldova
172,Monaco,,17/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Monaco
173,Mongolia,,10/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Mongolia
174,Montenegro,,24/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Montenegro
175,Morocco,,16/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Morocco
176,Mozambique,,,None,
177,MS Zaandam,,,None,
178,Namibia,,14/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Namibia
179,Nepal,,24/03/2020,Full,https://edition.cnn.com/travel/article/nepal-trekkers-stranded-coronavirus-scli-intl/index.html
180,Netherlands,Aruba,16/03/2020,Full,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Aruba
181,Netherlands,,24/03/2020,Full,https://www.ukrant.nl/why-the-netherlands-is-not-on-lockdown-yet/?lang=en
182,Netherlands,Curacao,,None,
183,Netherlands,Sint Maarten,,None,
184,New Zealand,,25/03/2020,Full,https://www.bbc.co.uk/news/av/world-52001578/coronavirus-new-zealand-announces-lockdown
185,Nicaragua,,,None,
186,Niger,,,None,
187,Nigeria,,25/03/2020,Full,https://uk.reuters.com/article/uk-health-coronavirus-nigeria-security/nigerian-army-prepares-for-coronavirus-lockdown-mass-burials-idUKKBN21C2BL
188,North Macedonia,,18/03/2020,Full,https://balkaninsight.com/2020/03/19/volunteers-help-north-macedonias-elderly-survive-lockdown/
189,Norway,,12/03/2020,Full,https://www.thelocal.no/20200324/norway-extends-coronavirus-lockdown-until-after-easter
190,Oman,,29/03/2020,Partial,https://www.omanobserver.om/oman-to-suspend-all-domestic-and-international-flights-from-sunday612586-2/
191,Pakistan,,26/03/2020,Full,https://sourcingjournal.com/topics/sourcing/pakistan-coronavirus-lockdown-garment-factories-closed-synergies-worldwide-levis-202444/
